Date,Total
2004-05-21,660000
2004-05-22,330000
2004-05-23,174000
2004-05-24,647000
2004-05-25,684000
2004-05-26,677000
2004-05-27,691000
2004-05-28,675000
2004-05-29,370000
2004-05-30,266000
2004-05-31,198000
2004-06-01,669000
2004-06-02,700000
2004-06-03,713000
2004-06-04,684000
2004-06-05,278000
2004-06-06,194000
2004-06-07,677000
2004-06-08,713000
2004-06-09,842000
2004-06-10,758000
2004-06-11,428000
2004-06-12,300000
2004-06-13,213000
2004-06-14,707000
2004-06-15,728000
2004-06-16,734000
2004-06-17,714000
2004-06-18,691000
2004-06-19,288000
2004-06-20,200000
2004-06-21,690000
2004-06-22,714000
2004-06-23,723000
2004-06-24,729000
2004-06-25,703000
2004-06-26,344000
2004-06-27,231000
2004-06-28,687000
2004-06-29,707000
2004-06-30,713000
2004-07-01,710000
2004-07-02,669000
2004-07-03,329000
2004-07-04,353000
2004-07-05,239000
2004-07-06,679000
2004-07-07,706000
2004-07-08,708000
2004-07-09,689000
2004-07-10,277000
2004-07-11,188000
2004-07-12,668000
2004-07-13,714000
2004-07-14,712000
2004-07-15,731000
2004-07-16,698000
2004-07-17,292000
2004-07-18,183000
2004-07-19,681000
2004-07-20,714000
2004-07-21,716000
2004-07-22,709000
2004-07-23,686000
2004-07-24,283000
2004-07-25,184000
2004-07-26,659000
2004-07-27,681000
2004-07-28,683000
2004-07-29,693000
2004-07-30,673000
2004-07-31,277000
2004-08-01,176000
2004-08-02,627000
2004-08-03,670000
2004-08-04,676000
2004-08-05,670000
2004-08-06,670000
2004-08-07,283000
2004-08-08,188000
2004-08-09,620000
2004-08-10,651000
2004-08-11,651000
2004-08-12,653000
2004-08-13,623000
2004-08-14,228000
2004-08-15,169000
2004-08-16,603000
2004-08-17,634000
2004-08-18,638000
2004-08-19,631000
2004-08-20,613000
2004-08-21,222000
2004-08-22,174000
2004-08-23,588000
2004-08-24,623000
2004-08-25,627000
2004-08-26,631000
2004-08-27,616000
2004-08-28,250000
2004-08-29,162000
2004-08-30,585000
2004-08-31,621000
2004-09-01,641000
2004-09-02,635000
2004-09-03,602000
2004-09-04,242000
2004-09-05,175000
2004-09-06,149000
2004-09-07,614000
2004-09-08,648000
2004-09-09,662000
2004-09-10,659000
2004-09-11,260000
2004-09-12,187000
2004-09-13,636000
2004-09-14,669000
2004-09-15,662000
2004-09-16,655000
2004-09-17,644000
2004-09-18,259000
2004-09-19,187000
2004-09-20,653000
2004-09-21,727000
2004-09-22,705000
2004-09-23,694000
2004-09-24,672000
2004-09-25,293000
2004-09-26,181000
2004-09-27,648000
2004-09-28,646000
2004-09-29,676000
2004-09-30,681000
2004-10-01,671000
2004-10-02,261000
2004-10-03,186000
2004-10-04,648000
2004-10-05,675000
2004-10-06,683000
2004-10-07,695000
2004-10-08,664000
2004-10-09,308000
2004-10-10,211000
2004-10-11,332000
2004-10-12,658000
2004-10-13,681000
2004-10-14,692000
2004-10-15,691000
2004-10-16,300000
2004-10-17,201000
2004-10-18,645000
2004-10-19,665000
2004-10-20,667000
2004-10-21,677000
2004-10-22,658000
2004-10-23,282000
2004-10-24,181000
2004-10-25,641000
2004-10-26,684000
2004-10-27,672000
2004-10-28,679000
2004-10-29,668000
2004-10-30,293000
2004-10-31,250000
2004-11-01,637000
2004-11-02,620000
2004-11-03,617000
2004-11-04,604000
2004-11-05,633000
2004-11-06,260000
2004-11-07,157000
2004-11-08,641000
2004-11-09,679000
2004-11-10,681000
2004-11-11,392000
2004-11-12,591000
2004-11-13,268000
2004-11-14,179000
2004-11-15,629000
2004-11-16,662000
2004-11-17,684000
2004-11-18,670000
2004-11-19,677000
2004-11-20,278000
2004-11-21,158000
2004-11-22,635000
2004-11-23,652000
2004-11-24,561000
2004-11-25,87000
2004-11-26,353000
2004-11-27,216000
2004-11-28,140000
2004-11-29,600000
2004-11-30,646000
2004-12-01,658000
2004-12-02,672000
2004-12-03,659000
2004-12-04,269000
2004-12-05,176000
2004-12-06,617000
2004-12-07,656000
2004-12-08,683000
2004-12-09,671000
2004-12-10,658000
2004-12-11,246000
2004-12-12,165000
2004-12-13,624000
2004-12-14,655000
2004-12-15,664000
2004-12-16,429000
2004-12-17,634000
2004-12-18,231000
2004-12-19,139000
2004-12-20,540000
2004-12-21,582000
2004-12-22,577000
2004-12-23,450000
2004-12-24,150000
2004-12-25,54000
2004-12-26,126000
2004-12-27,423000
2004-12-28,493000
2004-12-29,532000
2004-12-30,504000
2004-12-31,261000
2005-01-01,157000
2005-01-02,146000
2005-01-03,533000
2005-01-04,601000
2005-01-05,605000
2005-01-06,622000
2005-01-07,609000
2005-01-08,222000
2005-01-09,143000
2005-01-10,627000
2005-01-11,656000
2005-01-12,671000
2005-01-13,663000
2005-01-14,632000
2005-01-15,246000
2005-01-16,160000
2005-01-17,221000
2005-01-18,642000
2005-01-19,753000
2005-01-20,574000
2005-01-21,655000
2005-01-22,182000
2005-01-23,131000
2005-01-24,636000
2005-01-25,652000
2005-01-26,666000
2005-01-27,646000
2005-01-28,630000
2005-01-29,251000
2005-01-30,130000
2005-01-31,609000
2005-02-01,658000
2005-02-02,661000
2005-02-03,652000
2005-02-04,645000
2005-02-05,257000
2005-02-06,147000
2005-02-07,626000
2005-02-08,653000
2005-02-09,669000
2005-02-10,655000
2005-02-11,648000
2005-02-12,256000
2005-02-13,176000
2005-02-14,608000
2005-02-15,652000
2005-02-16,661000
2005-02-17,669000
2005-02-18,647000
2005-02-19,275000
2005-02-20,178000
2005-02-21,256000
2005-02-22,649000
2005-02-23,679000
2005-02-24,609000
2005-02-25,644000
2005-02-26,260000
2005-02-27,171000
2005-02-28,545000
2005-03-01,640000
2005-03-02,674000
2005-03-03,670000
2005-03-04,669000
2005-03-05,265000
2005-03-06,180000
2005-03-07,648000
2005-03-08,639000
2005-03-09,668000
2005-03-10,695000
2005-03-11,692000
2005-03-12,313000
2005-03-13,202000
2005-03-14,663000
2005-03-15,690000
2005-03-16,689000
2005-03-17,698000
2005-03-18,686000
2005-03-19,317000
2005-03-20,190000
2005-03-21,676000
2005-03-22,718000
2005-03-23,677000
2005-03-24,717000
2005-03-25,640000
2005-03-26,301000
2005-03-27,165000
2005-03-28,610000
2005-03-29,710000
2005-03-30,741000
2005-03-31,717000
2005-04-01,717000
2005-04-02,253000
2005-04-03,229000
2005-04-04,670000
2005-04-05,724000
2005-04-06,751000
2005-04-07,722000
2005-04-08,720000
2005-04-09,558000
2005-04-10,325000
2005-04-11,685000
2005-04-12,693000
2005-04-13,708000
2005-04-14,759000
2005-04-15,727000
2005-04-16,376000
2005-04-17,274000
2005-04-18,709000
2005-04-19,744000
2005-04-20,747000
2005-04-21,728000
2005-04-22,689000
2005-04-23,265000
2005-04-24,172000
2005-04-25,665000
2005-04-26,707000
2005-04-27,710000
2005-04-28,707000
2005-04-29,708000
2005-04-30,288000
2005-05-01,209000
2005-05-02,657000
2005-05-03,680000
2005-05-04,681000
2005-05-05,689000
2005-05-06,676000
2005-05-07,268000
2005-05-08,171000
2005-05-09,634000
2005-05-10,686000
2005-05-11,691000
2005-05-12,707000
2005-05-13,718000
2005-05-14,341000
2005-05-15,214000
2005-05-16,679000
2005-05-17,714000
2005-05-18,721000
2005-05-19,718000
2005-05-20,638000
2005-05-21,303000
2005-05-22,211000
2005-05-23,657000
2005-05-24,676000
2005-05-25,689000
2005-05-26,709000
2005-05-27,651000
2005-05-28,291000
2005-05-29,273000
2005-05-30,253000
2005-05-31,676000
2005-06-01,726000
2005-06-02,722000
2005-06-03,687000
2005-06-04,378000
2005-06-05,234000
2005-06-06,687000
2005-06-07,748000
2005-06-08,758000
2005-06-09,748000
2005-06-10,734000
2005-06-11,330000
2005-06-12,243000
2005-06-13,700000
2005-06-14,734000
2005-06-15,746000
2005-06-16,741000
2005-06-17,717000
2005-06-18,298000
2005-06-19,195000
2005-06-20,685000
2005-06-21,739000
2005-06-22,727000
2005-06-23,751000
2005-06-24,745000
2005-06-25,387000
2005-06-26,258000
2005-06-27,692000
2005-06-28,755000
2005-06-29,748000
2005-06-30,757000
2005-07-01,685000
2005-07-02,323000
2005-07-03,284000
2005-07-04,533000
2005-07-05,692000
2005-07-06,753000
2005-07-07,709000
2005-07-08,676000
2005-07-09,298000
2005-07-10,201000
2005-07-11,698000
2005-07-12,731000
2005-07-13,725000
2005-07-14,728000
2005-07-15,708000
2005-07-16,283000
2005-07-17,203000
2005-07-18,711000
2005-07-19,748000
2005-07-20,761000
2005-07-21,765000
2005-07-22,748000
2005-07-23,341000
2005-07-24,237000
2005-07-25,683000
2005-07-26,716000
2005-07-27,708000
2005-07-28,736000
2005-07-29,694000
2005-07-30,304000
2005-07-31,197000
2005-08-01,667000
2005-08-02,725000
2005-08-03,727000
2005-08-04,723000
2005-08-05,697000
2005-08-06,306000
2005-08-07,214000
2005-08-08,641000
2005-08-09,668000
2005-08-10,702000
2005-08-11,682000
2005-08-12,658000
2005-08-13,273000
2005-08-14,178000
2005-08-15,616000
2005-08-16,643000
2005-08-17,664000
2005-08-18,664000
2005-08-19,634000
2005-08-20,265000
2005-08-21,185000
2005-08-22,611000
2005-08-23,671000
2005-08-24,677000
2005-08-25,676000
2005-08-26,687000
2005-08-27,269000
2005-08-28,201000
2005-08-29,625000
2005-08-30,656000
2005-08-31,662000
2005-09-01,668000
2005-09-02,658000
2005-09-03,286000
2005-09-04,219000
2005-09-05,193000
2005-09-06,660000
2005-09-07,700000
2005-09-08,709000
2005-09-09,723000
2005-09-10,322000
2005-09-11,228000
2005-09-12,667000
2005-09-13,706000
2005-09-14,705000
2005-09-15,705000
2005-09-16,699000
2005-09-17,296000
2005-09-18,177000
2005-09-19,659000
2005-09-20,710000
2005-09-21,727000
2005-09-22,723000
2005-09-23,723000
2005-09-24,447000
2005-09-25,201000
2005-09-26,664000
2005-09-27,705000
2005-09-28,703000
2005-09-29,698000
2005-09-30,719000
2005-10-01,319000
2005-10-02,238000
2005-10-03,701000
2005-10-04,702000
2005-10-05,733000
2005-10-06,716000
2005-10-07,674000
2005-10-08,267000
2005-10-09,225000
2005-10-10,359000
2005-10-11,683000
2005-10-12,701000
2005-10-13,691000
2005-10-14,714000
2005-10-15,391000
2005-10-16,202000
2005-10-17,684000
2005-10-18,713000
2005-10-19,737000
2005-10-20,748000
2005-10-21,704000
2005-10-22,290000
2005-10-23,213000
2005-10-24,665000
2005-10-25,678000
2005-10-26,707000
2005-10-27,717000
2005-10-28,729000
2005-10-29,325000
2005-10-30,307000
2005-10-31,683000
2005-11-01,712000
2005-11-02,724000
2005-11-03,727000
2005-11-04,720000
2005-11-05,307000
2005-11-06,208000
2005-11-07,668000
2005-11-08,698000
2005-11-09,709000
2005-11-10,703000
2005-11-11,483000
2005-11-12,327000
2005-11-13,215000
2005-11-14,691000
2005-11-15,737000
2005-11-16,716000
2005-11-17,715000
2005-11-18,695000
2005-11-19,298000
2005-11-20,189000
2005-11-21,654000
2005-11-22,674000
2005-11-23,594000
2005-11-24,178000
2005-11-25,323000
2005-11-26,218000
2005-11-27,164000
2005-11-28,625000
2005-11-29,665000
2005-11-30,699000
2005-12-01,717000
2005-12-02,697000
2005-12-03,268000
2005-12-04,160000
2005-12-05,675000
2005-12-06,687000
2005-12-07,710000
2005-12-08,708000
2005-12-09,621000
2005-12-10,270000
2005-12-11,164000
2005-12-12,655000
2005-12-13,690000
2005-12-14,684000
2005-12-15,673000
2005-12-16,676000
2005-12-17,270000
2005-12-18,184000
2005-12-19,641000
2005-12-20,654000
2005-12-21,634000
2005-12-22,602000
2005-12-23,484000
2005-12-24,155000
2005-12-25,52000
2005-12-26,180000
2005-12-27,483000
2005-12-28,541000
2005-12-29,520000
2005-12-30,515000
2005-12-31,242000
2006-01-01,121000
2006-01-02,157000
2006-01-03,583000
2006-01-04,626000
2006-01-05,638000
2006-01-06,636000
2006-01-07,224000
2006-01-08,149000
2006-01-09,646000
2006-01-10,686000
2006-01-11,682000
2006-01-12,691000
2006-01-13,681000
2006-01-14,260000
2006-01-15,169000
2006-01-16,250000
2006-01-17,660000
2006-01-18,667000
2006-01-19,697000
2006-01-20,695000
2006-01-21,289000
2006-01-22,176000
2006-01-23,699000
2006-01-24,697000
2006-01-25,687000
2006-01-26,691000
2006-01-27,690000
2006-01-28,332000
2006-01-29,188000
2006-01-30,649000
2006-01-31,673000
2006-02-01,690000
2006-02-02,706000
2006-02-03,697000
2006-02-04,238000
2006-02-05,173000
2006-02-06,656000
2006-02-07,693000
2006-02-08,697000
2006-02-09,697000
2006-02-10,699000
2006-02-11,240000
2006-02-12,148000
2006-02-13,626000
2006-02-14,690000
2006-02-15,696000
2006-02-16,706000
2006-02-17,688000
2006-02-18,279000
2006-02-19,187000
2006-02-20,270000
2006-02-21,677000
2006-02-22,678000
2006-02-23,695000
2006-02-24,692000
2006-02-25,289000
2006-02-26,156000
2006-02-27,649000
2006-02-28,678000
2006-03-01,691000
2006-03-02,694000
2006-03-03,682000
2006-03-04,270000
2006-03-05,181000
2006-03-06,664000
2006-03-07,736000
2006-03-08,718000
2006-03-09,717000
2006-03-10,716000
2006-03-11,352000
2006-03-12,222000
2006-03-13,682000
2006-03-14,725000
2006-03-15,722000
2006-03-16,731000
2006-03-17,728000
2006-03-18,298000
2006-03-19,197000
2006-03-20,684000
2006-03-21,704000
2006-03-22,709000
2006-03-23,717000
2006-03-24,729000
2006-03-25,347000
2006-03-26,238000
2006-03-27,699000
2006-03-28,728000
2006-03-29,737000
2006-03-30,756000
2006-03-31,802000
2006-04-01,458000
2006-04-02,358000
2006-04-03,692000
2006-04-04,750000
2006-04-05,748000
2006-04-06,743000
2006-04-07,727000
2006-04-08,322000
2006-04-09,245000
2006-04-10,808000
2006-04-11,760000
2006-04-12,742000
2006-04-13,729000
2006-04-14,690000
2006-04-15,341000
2006-04-16,195000
2006-04-17,658000
2006-04-18,760000
2006-04-19,762000
2006-04-20,777000
2006-04-21,755000
2006-04-22,279000
2006-04-23,204000
2006-04-24,689000
2006-04-25,726000
2006-04-26,722000
2006-04-27,732000
2006-04-28,725000
2006-04-29,300000
2006-04-30,259000
2006-05-01,664000
2006-05-02,712000
2006-05-03,726000
2006-05-04,734000
2006-05-05,736000
2006-05-06,309000
2006-05-07,208000
2006-05-08,650000
2006-05-09,706000
2006-05-10,720000
2006-05-11,697000
2006-05-12,705000
2006-05-13,296000
2006-05-14,154000
2006-05-15,664000
2006-05-16,712000
2006-05-17,727000
2006-05-18,737000
2006-05-19,745000
2006-05-20,368000
2006-05-21,239000
2006-05-22,695000
2006-05-23,734000
2006-05-24,739000
2006-05-25,721000
2006-05-26,677000
2006-05-27,327000
2006-05-28,293000
2006-05-29,246000
2006-05-30,702000
2006-05-31,725000
2006-06-01,736000
2006-06-02,716000
2006-06-03,335000
2006-06-04,210000
2006-06-05,708000
2006-06-06,754000
2006-06-07,760000
2006-06-08,770000
2006-06-09,749000
2006-06-10,344000
2006-06-11,249000
2006-06-12,719000
2006-06-13,781000
2006-06-14,769000
2006-06-15,774000
2006-06-16,777000
2006-06-17,337000
2006-06-18,230000
2006-06-19,695000
2006-06-20,750000
2006-06-21,763000
2006-06-22,750000
2006-06-23,731000
2006-06-24,330000
2006-06-25,197000
2006-06-26,600000
2006-06-27,720000
2006-06-28,751000
2006-06-29,768000
2006-06-30,765000
2006-07-01,342000
2006-07-02,264000
2006-07-03,590000
2006-07-04,443000
2006-07-05,699000
2006-07-06,745000
2006-07-07,762000
2006-07-08,328000
2006-07-09,228000
2006-07-10,725000
2006-07-11,764000
2006-07-12,765000
2006-07-13,763000
2006-07-14,748000
2006-07-15,316000
2006-07-16,214000
2006-07-17,710000
2006-07-18,747000
2006-07-19,764000
2006-07-20,763000
2006-07-21,774000
2006-07-22,332000
2006-07-23,235000
2006-07-24,713000
2006-07-25,771000
2006-07-26,778000
2006-07-27,778000
2006-07-28,745000
2006-07-29,313000
2006-07-30,203000
2006-07-31,686000
2006-08-01,713000
2006-08-02,708000
2006-08-03,714000
2006-08-04,710000
2006-08-05,297000
2006-08-06,200000
2006-08-07,658000
2006-08-08,717000
2006-08-09,710000
2006-08-10,689000
2006-08-11,691000
2006-08-12,320000
2006-08-13,207000
2006-08-14,648000
2006-08-15,692000
2006-08-16,692000
2006-08-17,686000
2006-08-18,658000
2006-08-19,277000
2006-08-20,175000
2006-08-21,626000
2006-08-22,663000
2006-08-23,676000
2006-08-24,666000
2006-08-25,651000
2006-08-26,267000
2006-08-27,172000
2006-08-28,635000
2006-08-29,688000
2006-08-30,675000
2006-08-31,683000
2006-09-01,570000
2006-09-02,247000
2006-09-03,224000
2006-09-04,208000
2006-09-05,631000
2006-09-06,700000
2006-09-07,731000
2006-09-08,705000
2006-09-09,292000
2006-09-10,195000
2006-09-11,677000
2006-09-12,708000
2006-09-13,708000
2006-09-14,699000
2006-09-15,713000
2006-09-16,292000
2006-09-17,199000
2006-09-18,684000
2006-09-19,719000
2006-09-20,731000
2006-09-21,715000
2006-09-22,695000
2006-09-23,276000
2006-09-24,171000
2006-09-25,679000
2006-09-26,718000
2006-09-27,733000
2006-09-28,717000
2006-09-29,739000
2006-09-30,341000
2006-10-01,218000
2006-10-02,661000
2006-10-03,711000
2006-10-04,719000
2006-10-05,720000
2006-10-06,668000
2006-10-07,308000
2006-10-08,238000
2006-10-09,377000
2006-10-10,731000
2006-10-11,726000
2006-10-12,725000
2006-10-13,734000
2006-10-14,344000
2006-10-15,214000
2006-10-16,681000
2006-10-17,689000
2006-10-18,724000
2006-10-19,727000
2006-10-20,732000
2006-10-21,321000
2006-10-22,189000
2006-10-23,673000
2006-10-24,711000
2006-10-25,720000
2006-10-26,724000
2006-10-27,715000
2006-10-28,324000
2006-10-29,298000
2006-10-30,682000
2006-10-31,706000
2006-11-01,713000
2006-11-02,721000
2006-11-03,731000
2006-11-04,302000
2006-11-05,202000
2006-11-06,683000
2006-11-07,690000
2006-11-08,704000
2006-11-09,718000
2006-11-10,502000
2006-11-11,337000
2006-11-12,160000
2006-11-13,675000
2006-11-14,719000
2006-11-15,737000
2006-11-16,679000
2006-11-17,734000
2006-11-18,322000
2006-11-19,179000
2006-11-20,681000
2006-11-21,688000
2006-11-22,587000
2006-11-23,95000
2006-11-24,372000
2006-11-25,257000
2006-11-26,179000
2006-11-27,644000
2006-11-28,695000
2006-11-29,704000
2006-11-30,710000
2006-12-01,701000
2006-12-02,293000
2006-12-03,191000
2006-12-04,676000
2006-12-05,705000
2006-12-06,713000
2006-12-07,724000
2006-12-08,682000
2006-12-09,278000
2006-12-10,181000
2006-12-11,674000
2006-12-12,699000
2006-12-13,704000
2006-12-14,709000
2006-12-15,707000
2006-12-16,284000
2006-12-17,172000
2006-12-18,664000
2006-12-19,690000
2006-12-20,673000
2006-12-21,636000
2006-12-22,535000
2006-12-23,211000
2006-12-24,123000
2006-12-25,56000
2006-12-26,374000
2006-12-27,510000
2006-12-28,544000
2006-12-29,535000
2006-12-30,288000
2006-12-31,214000
2007-01-01,126000
2007-01-02,366000
2007-01-03,636000
2007-01-04,663000
2007-01-05,644000
2007-01-06,295000
2007-01-07,145000
2007-01-08,646000
2007-01-09,688000
2007-01-10,696000
2007-01-11,691000
2007-01-12,686000
2007-01-13,299000
2007-01-14,191000
2007-01-15,256000
2007-01-16,669000
2007-01-17,694000
2007-01-18,688000
2007-01-19,687000
2007-01-20,281000
2007-01-21,174000
2007-01-22,691000
2007-01-23,722000
2007-01-24,719000
2007-01-25,719000
2007-01-26,693000
2007-01-27,427000
2007-01-28,189000
2007-01-29,652000
2007-01-30,695000
2007-01-31,686000
2007-02-01,708000
2007-02-02,700000
2007-02-03,277000
2007-02-04,161000
2007-02-05,643000
2007-02-06,663000
2007-02-07,659000
2007-02-08,688000
2007-02-09,675000
2007-02-10,282000
2007-02-11,167000
2007-02-12,673000
2007-02-13,668000
2007-02-14,460000
2007-02-15,666000
2007-02-16,686000
2007-02-17,294000
2007-02-18,215000
2007-02-19,277000
2007-02-20,695000
2007-02-21,718000
2007-02-22,718000
2007-02-23,701000
2007-02-24,295000
2007-02-25,150000
2007-02-26,645000
2007-02-27,702000
2007-02-28,725000
2007-03-01,717000
2007-03-02,714000
2007-03-03,317000
2007-03-04,183000
2007-03-05,674000
2007-03-06,704000
2007-03-07,693000
2007-03-08,724000
2007-03-09,723000
2007-03-10,360000
2007-03-11,217000
2007-03-12,701000
2007-03-13,748000
2007-03-14,735000
2007-03-15,725000
2007-03-16,683000
2007-03-17,337000
2007-03-18,200000
2007-03-19,686000
2007-03-20,734000
2007-03-21,733000
2007-03-22,744000
2007-03-23,730000
2007-03-24,330000
2007-03-25,222000
2007-03-26,689000
2007-03-27,752000
2007-03-28,746000
2007-03-29,740000
2007-03-30,754000
2007-03-31,455000
2007-04-01,255000
2007-04-02,776000
2007-04-03,825000
2007-04-04,751000
2007-04-05,763000
2007-04-06,736000
2007-04-07,352000
2007-04-08,190000
2007-04-09,674000
2007-04-10,747000
2007-04-11,743000
2007-04-12,755000
2007-04-13,763000
2007-04-14,387000
2007-04-15,175000
2007-04-16,656000
2007-04-17,740000
2007-04-18,746000
2007-04-19,744000
2007-04-20,749000
2007-04-21,343000
2007-04-22,216000
2007-04-23,685000
2007-04-24,722000
2007-04-25,726000
2007-04-26,727000
2007-04-27,711000
2007-04-28,336000
2007-04-29,233000
2007-04-30,697000
2007-05-01,726000
2007-05-02,725000
2007-05-03,725000
2007-05-04,720000
2007-05-05,285000
2007-05-06,203000
2007-05-07,676000
2007-05-08,720000
2007-05-09,726000
2007-05-10,728000
2007-05-11,726000
2007-05-12,334000
2007-05-13,205000
2007-05-14,691000
2007-05-15,742000
2007-05-16,733000
2007-05-17,751000
2007-05-18,720000
2007-05-19,342000
2007-05-20,242000
2007-05-21,702000
2007-05-22,743000
2007-05-23,744000
2007-05-24,733000
2007-05-25,687000
2007-05-26,314000
2007-05-27,261000
2007-05-28,241000
2007-05-29,699000
2007-05-30,737000
2007-05-31,745000
2007-06-01,743000
2007-06-02,372000
2007-06-03,182000
2007-06-04,720000
2007-06-05,777000
2007-06-06,790000
2007-06-07,788000
2007-06-08,747000
2007-06-09,386000
2007-06-10,239000
2007-06-11,742000
2007-06-12,773000
2007-06-13,782000
2007-06-14,780000
2007-06-15,761000
2007-06-16,323000
2007-06-17,209000
2007-06-18,732000
2007-06-19,748000
2007-06-20,793000
2007-06-21,781000
2007-06-22,797000
2007-06-23,433000
2007-06-24,278000
2007-06-25,751000
2007-06-26,778000
2007-06-27,774000
2007-06-28,775000
2007-06-29,758000
2007-06-30,342000
2007-07-01,259000
2007-07-02,747000
2007-07-03,787000
2007-07-04,493000
2007-07-05,710000
2007-07-06,736000
2007-07-07,358000
2007-07-08,228000
2007-07-09,724000
2007-07-10,756000
2007-07-11,767000
2007-07-12,790000
2007-07-13,787000
2007-07-14,353000
2007-07-15,233000
2007-07-16,756000
2007-07-17,796000
2007-07-18,799000
2007-07-19,786000
2007-07-20,779000
2007-07-21,348000
2007-07-22,230000
2007-07-23,734000
2007-07-24,771000
2007-07-25,791000
2007-07-26,780000
2007-07-27,753000
2007-07-28,334000
2007-07-29,205000
2007-07-30,711000
2007-07-31,769000
2007-08-01,771000
2007-08-02,768000
2007-08-03,753000
2007-08-04,324000
2007-08-05,225000
2007-08-06,700000
2007-08-07,724000
2007-08-08,703000
2007-08-09,761000
2007-08-10,716000
2007-08-11,316000
2007-08-12,203000
2007-08-13,675000
2007-08-14,720000
2007-08-15,709000
2007-08-16,699000
2007-08-17,704000
2007-08-18,329000
2007-08-19,194000
2007-08-20,636000
2007-08-21,665000
2007-08-22,698000
2007-08-23,695000
2007-08-24,681000
2007-08-25,264000
2007-08-26,179000
2007-08-27,651000
2007-08-28,691000
2007-08-29,692000
2007-08-30,686000
2007-08-31,664000
2007-09-01,305000
2007-09-02,231000
2007-09-03,201000
2007-09-04,674000
2007-09-05,717000
2007-09-06,733000
2007-09-07,713000
2007-09-08,305000
2007-09-09,216000
2007-09-10,688000
2007-09-11,708000
2007-09-12,731000
2007-09-13,718000
2007-09-14,716000
2007-09-15,348000
2007-09-16,211000
2007-09-17,706000
2007-09-18,749000
2007-09-19,749000
2007-09-20,752000
2007-09-21,747000
2007-09-22,316000
2007-09-23,237000
2007-09-24,694000
2007-09-25,734000
2007-09-26,741000
2007-09-27,733000
2007-09-28,732000
2007-09-29,361000
2007-09-30,200000
2007-10-01,696000
2007-10-02,726000
2007-10-03,736000
2007-10-04,742000
2007-10-05,742000
2007-10-06,381000
2007-10-07,274000
2007-10-08,384000
2007-10-09,726000
2007-10-10,754000
2007-10-11,750000
2007-10-12,748000
2007-10-13,345000
2007-10-14,212000
2007-10-15,710000
2007-10-16,752000
2007-10-17,758000
2007-10-18,766000
2007-10-19,751000
2007-10-20,376000
2007-10-21,225000
2007-10-22,697000
2007-10-23,733000
2007-10-24,737000
2007-10-25,743000
2007-10-26,736000
2007-10-27,343000
2007-10-28,319000
2007-10-29,702000
